id	length	gene	biotype	chr
ENSG00000239168	62	RNU7-197P	snRNA	chr4
ENSG00000249752	481	AC108156.1	lncRNA	chr4
ENSG00000250252	948	LINC02430	lncRNA	chr4
ENSG00000248210	2520	LINC02355	lncRNA	chr4
ENSG00000234828	2138	IQCM	protein_coding	chr4
ENSG00000287565	2155	AC108168.1	lncRNA	chr4
ENSG00000250905	510	AC093893.1	lncRNA	chr4
ENSG00000251482	352	AKIRIN2P1	processed_pseudogene	chr4
ENSG00000202331	116	RNA5SP167	rRNA_pseudogene	chr4
ENSG00000207121	108	RNU6-1230P	snRNA	chr4
ENSG00000250704	358	AC105343.1	lncRNA	chr4
ENSG00000286711	1371	AC105343.2	lncRNA	chr4
ENSG00000170390	4075	DCLK2	protein_coding	chr4
ENSG00000238721	63	RNU7-194P	snRNA	chr4
ENSG00000198589	10353	LRBA	protein_coding	chr4
ENSG00000248521	998	AC092612.1	processed_pseudogene	chr4
ENSG00000249690	2209	AC110813.1	lncRNA	chr4
ENSG00000181541	2543	MAB21L2	protein_coding	chr4
ENSG00000183432	498	ZBTB8OSP1	processed_pseudogene	chr4
ENSG00000252451	112	RNA5SP168	rRNA_pseudogene	chr4
ENSG00000235606	528	AK4P6	processed_pseudogene	chr4
ENSG00000145425	1526	RPS3A	protein_coding	chr4
ENSG00000201264	72	SNORD73B	snoRNA	chr4
ENSG00000109686	5284	SH3D19	protein_coding	chr4
ENSG00000208797	65	SNORD73A	snoRNA	chr4
ENSG00000270681	1113	AC095055.1	lncRNA	chr4
ENSG00000249012	486	AC104819.1	unprocessed_pseudogene	chr4
ENSG00000189099	989	PRSS48	protein_coding	chr4
ENSG00000250350	163	AC104819.2	unprocessed_pseudogene	chr4
ENSG00000252544	96	RNU6-1282P	snRNA	chr4
ENSG00000270265	540	AC104819.3	lncRNA	chr4
ENSG00000251611	358	FAM160A1-DT	lncRNA	chr4
ENSG00000164142	11517	FAM160A1	protein_coding	chr4
ENSG00000253019	151	RN7SKP35	misc_RNA	chr4
ENSG00000059691	6552	GATB	protein_coding	chr4
ENSG00000251455	2565	AC092611.1	lncRNA	chr4
ENSG00000249184	1992	AC107074.1	lncRNA	chr4
ENSG00000286761	1689	AC112242.2	lncRNA	chr4
ENSG00000249708	406	AC112242.1	lncRNA	chr4
ENSG00000249818	687	AC097375.2	lncRNA	chr4
ENSG00000248991	488	AC097375.1	lncRNA	chr4
ENSG00000286066	1686	AC097375.4	lncRNA	chr4
ENSG00000251249	2652	AC097375.3	lncRNA	chr4
ENSG00000253077	117	RNA5SP169	rRNA_pseudogene	chr4
ENSG00000286720	3794	AC097375.5	lncRNA	chr4
ENSG00000245954	1592	LINC02273	lncRNA	chr4
ENSG00000287504	1676	AC079340.3	lncRNA	chr4
ENSG00000250706	552	AC079340.1	lncRNA	chr4
ENSG00000251377	869	AC079340.2	lncRNA	chr4
ENSG00000244544	296	RN7SL446P	misc_RNA	chr4
ENSG00000270302	410	AC080078.1	lncRNA	chr4
ENSG00000270883	463	AC080078.2	lncRNA	chr4
ENSG00000109670	5653	FBXW7	protein_coding	chr4
ENSG00000270751	372	FBXW7-AS1	lncRNA	chr4
ENSG00000287555	3802	AC023424.2	lncRNA	chr4
ENSG00000264678	90	MIR3140	miRNA	chr4
ENSG00000268471	3000	MIR4453HG	lncRNA	chr4
ENSG00000283792	89	MIR4453	miRNA	chr4
ENSG00000243417	777	RPS3AP18	processed_pseudogene	chr4
ENSG00000240669	459	AC023424.1	processed_pseudogene	chr4
ENSG00000170006	10534	TMEM154	protein_coding	chr4
ENSG00000248571	2371	AC106882.1	lncRNA	chr4
ENSG00000169989	2438	TIGD4	protein_coding	chr4
ENSG00000164144	3542	ARFIP1	protein_coding	chr4
ENSG00000250980	769	NSA2P6	processed_pseudogene	chr4
ENSG00000231841	762	FAM192BP	processed_pseudogene	chr4
ENSG00000287642	1048	AC093599.2	lncRNA	chr4
ENSG00000137460	6597	FHDC1	protein_coding	chr4
ENSG00000249022	653	AC093599.1	lncRNA	chr4
ENSG00000109654	8088	TRIM2	protein_coding	chr4
ENSG00000288637	4562	AC013477.1	protein_coding	chr4
ENSG00000252030	94	RNU6-1196P	snRNA	chr4
ENSG00000201786	102	Y_RNA	misc_RNA	chr4
ENSG00000213406	926	ANXA2P1	processed_pseudogene	chr4
ENSG00000121211	929	MND1	protein_coding	chr4
ENSG00000243883	287	RN7SL419P	misc_RNA	chr4
ENSG00000121210	5017	TMEM131L	protein_coding	chr4
ENSG00000287216	1108	AC106865.2	lncRNA	chr4
ENSG00000250771	3034	AC106865.1	transcribed_unprocessed_pseudogene	chr4
ENSG00000248208	1082	WDR45P1	processed_pseudogene	chr4
ENSG00000137462	4200	TLR2	protein_coding	chr4
ENSG00000145428	3203	RNF175	protein_coding	chr4
ENSG00000249309	521	AC020703.1	lncRNA	chr4
ENSG00000145423	1996	SFRP2	protein_coding	chr4
ENSG00000280241	2660	AC079298.3	lncRNA	chr4
ENSG00000197410	13354	DCHS2	protein_coding	chr4
ENSG00000278981	1619	AC079298.1	lncRNA	chr4
ENSG00000280005	459	AC079298.2	lncRNA	chr4
ENSG00000249200	462	AC110775.1	processed_pseudogene	chr4
ENSG00000250609	1022	AC110753.1	processed_pseudogene	chr4
ENSG00000171566	3317	PLRG1	protein_coding	chr4
ENSG00000200350	105	RNU6-1285P	snRNA	chr4
ENSG00000248611	778	AC107385.1	processed_pseudogene	chr4
ENSG00000171564	3641	FGB	protein_coding	chr4
ENSG00000171560	3655	FGA	protein_coding	chr4
ENSG00000171557	2072	FGG	protein_coding	chr4
ENSG00000287770	126	AC107385.2	unprocessed_pseudogene	chr4
ENSG00000121207	5002	LRAT	protein_coding	chr4
ENSG00000249074	295	NDUFB2P1	processed_pseudogene	chr4
ENSG00000249041	525	AC009567.1	lncRNA	chr4
ENSG00000249692	349	AC009567.2	processed_pseudogene	chr4
ENSG00000151962	3626	RBM46	protein_coding	chr4
ENSG00000222582	161	RNU2-66P	snRNA	chr4
ENSG00000252604	194	RNU2-44P	snRNA	chr4
ENSG00000250910	1437	AC097467.3	lncRNA	chr4
ENSG00000250538	1615	AC104407.1	lncRNA	chr4
ENSG00000185149	3619	NPY2R	protein_coding	chr4
ENSG00000249924	370	AC097467.1	lncRNA	chr4
ENSG00000164114	7328	MAP9	protein_coding	chr4
ENSG00000250205	198	YWHAEP4	processed_pseudogene	chr4
ENSG00000250398	346	AC097467.2	processed_pseudogene	chr4
ENSG00000271606	141	AC097467.4	unprocessed_pseudogene	chr4
ENSG00000287730	2175	AC097526.1	lncRNA	chr4
ENSG00000249247	789	MTCYBP17	unprocessed_pseudogene	chr4
ENSG00000249770	519	MTND6P17	unprocessed_pseudogene	chr4
ENSG00000248748	1755	MTND5P9	unprocessed_pseudogene	chr4
ENSG00000248548	1362	MTND4P8	unprocessed_pseudogene	chr4
ENSG00000249127	126	MTND3P3	unprocessed_pseudogene	chr4
ENSG00000249698	781	MTCO3P9	unprocessed_pseudogene	chr4
ENSG00000248420	680	MTATP6P9	unprocessed_pseudogene	chr4
ENSG00000249386	694	MTCO2P9	unprocessed_pseudogene	chr4
ENSG00000251223	1534	MTCO1P9	unprocessed_pseudogene	chr4
ENSG00000248907	1031	MTND2P33	unprocessed_pseudogene	chr4
ENSG00000251407	951	MTND1P22	unprocessed_pseudogene	chr4
ENSG00000251244	3487	AC107208.1	lncRNA	chr4
ENSG00000164116	9205	GUCY1A1	protein_coding	chr4
ENSG00000260244	2615	AC104083.1	lncRNA	chr4
ENSG00000061918	3466	GUCY1B1	protein_coding	chr4
ENSG00000256394	1696	ASIC5	protein_coding	chr4
ENSG00000151790	3139	TDO2	protein_coding	chr4
ENSG00000256043	5394	CTSO	protein_coding	chr4
ENSG00000249013	511	FTH1P21	processed_pseudogene	chr4
ENSG00000251511	993	AC096736.3	lncRNA	chr4
ENSG00000251283	607	LINC02272	lncRNA	chr4
ENSG00000249479	175	AC096736.2	lncRNA	chr4
ENSG00000248912	947	AC096736.1	lncRNA	chr4
ENSG00000145431	4570	PDGFC	protein_coding	chr4
ENSG00000248629	267	AC092608.1	lncRNA	chr4
ENSG00000280284	386	AC092608.3	TEC	chr4
ENSG00000278880	218	AC092608.2	TEC	chr4
ENSG00000250622	326	AC093325.1	processed_pseudogene	chr4
ENSG00000252350	322	RPPH1-3P	ribozyme	chr4
ENSG00000252524	107	Y_RNA	misc_RNA	chr4
ENSG00000109738	3033	GLRB	protein_coding	chr4
ENSG00000199859	107	RNU6-582P	snRNA	chr4
ENSG00000120251	5611	GRIA2	protein_coding	chr4
ENSG00000249819	394	AC112240.1	processed_pseudogene	chr4
ENSG00000286133	996	AC093817.2	lncRNA	chr4
ENSG00000234111	1395	LINC02433	lncRNA	chr4
ENSG00000249275	812	AC093817.1	lncRNA	chr4
ENSG00000200521	101	Y_RNA	misc_RNA	chr4
ENSG00000249627	471	AC017037.1	processed_pseudogene	chr4
ENSG00000279703	472	AC017037.3	TEC	chr4
ENSG00000286862	714	AC017037.5	lncRNA	chr4
ENSG00000287226	1408	AC084740.1	lncRNA	chr4
ENSG00000279994	826	AC017037.4	TEC	chr4
ENSG00000250475	890	AC017037.2	unprocessed_pseudogene	chr4
ENSG00000279139	654	AC098679.2	TEC	chr4
ENSG00000280140	571	AC098679.3	TEC	chr4
ENSG00000164125	4985	GASK1B	protein_coding	chr4
ENSG00000248429	2917	FAM198B-AS1	lncRNA	chr4
ENSG00000287822	475	AC098679.5	lncRNA	chr4
ENSG00000251073	569	NUDT19P5	processed_pseudogene	chr4
ENSG00000250604	365	AC098679.1	lncRNA	chr4
ENSG00000164124	4872	TMEM144	protein_coding	chr4
ENSG00000286558	1466	AC098679.4	lncRNA	chr4
ENSG00000251429	3115	AIDAP2	transcribed_processed_pseudogene	chr4
ENSG00000171509	3930	RXFP1	protein_coding	chr4
ENSG00000199634	141	RNU4-79P	snRNA	chr4
ENSG00000248387	652	AC121161.1	processed_pseudogene	chr4
ENSG00000249901	659	AC121161.2	lncRNA	chr4
ENSG00000205208	3366	C4orf46	protein_coding	chr4
ENSG00000171503	3111	ETFDH	protein_coding	chr4
ENSG00000271817	219	U3	snoRNA	chr4
ENSG00000171497	1830	PPID	protein_coding	chr4
ENSG00000052795	7038	FNIP2	protein_coding	chr4
ENSG00000206703	107	RNU6-128P	snRNA	chr4
ENSG00000164123	1263	C4orf45	protein_coding	chr4
ENSG00000274535	78	SNORD39	snoRNA	chr4
ENSG00000248988	717	PSME2P3	processed_pseudogene	chr4
ENSG00000249367	389	FABP5P12	processed_pseudogene	chr4
ENSG00000206978	102	Y_RNA	misc_RNA	chr4
ENSG00000109756	8225	RAPGEF2	protein_coding	chr4
ENSG00000264105	93	MIR3688-1	miRNA	chr4
ENSG00000283379	87	MIR3688-2	miRNA	chr4
ENSG00000248552	224	AC074344.1	processed_pseudogene	chr4
ENSG00000250180	565	AC074344.2	lncRNA	chr4
ENSG00000250488	1072	LINC02233	lncRNA	chr4
ENSG00000250997	483	AC093853.1	processed_pseudogene	chr4
ENSG00000249425	1417	LINC02477	lncRNA	chr4
ENSG00000242635	448	RPS14P7	processed_pseudogene	chr4
ENSG00000249568	2840	AC104793.1	lncRNA	chr4
ENSG00000168843	4796	FSTL5	protein_coding	chr4
ENSG00000249419	1105	AC023136.1	lncRNA	chr4
ENSG00000251253	1025	MTHFD2P4	processed_pseudogene	chr4
ENSG00000248396	336	TOMM22P4	processed_pseudogene	chr4
ENSG00000248431	1195	AC021134.1	lncRNA	chr4
ENSG00000287072	1604	AC021134.2	lncRNA	chr4
ENSG00000251123	622	AC084752.1	processed_pseudogene	chr4
ENSG00000283468	55	MIR4454	miRNA	chr4
ENSG00000250027	777	AC022272.1	lncRNA	chr4
ENSG00000145414	2329	NAF1	protein_coding	chr4
ENSG00000250547	1009	AC079238.1	processed_pseudogene	chr4
ENSG00000164128	2762	NPY1R	protein_coding	chr4
ENSG00000164129	3183	NPY5R	protein_coding	chr4
ENSG00000227283	338	RPL35AP12	processed_pseudogene	chr4
ENSG00000151005	2660	TKTL2	protein_coding	chr4
ENSG00000198498	1749	TMA16	protein_coding	chr4
ENSG00000145416	5877	MARCHF1	protein_coding	chr4
ENSG00000273449	927	AC093788.1	lncRNA	chr4
ENSG00000253001	314	RN7SKP105	misc_RNA	chr4
ENSG00000177803	657	YWHAQP4	processed_pseudogene	chr4
ENSG00000250746	2057	AC105250.1	processed_pseudogene	chr4
ENSG00000248546	705	ANP32C	processed_pseudogene	chr4
ENSG00000251162	258	AC074198.1	processed_pseudogene	chr4
ENSG00000223037	106	RNU6-284P	snRNA	chr4
ENSG00000248162	1397	CHORDC1P3	processed_pseudogene	chr4
ENSG00000248771	3123	SMIM31	protein_coding	chr4
ENSG00000201050	107	RNU6-668P	snRNA	chr4
ENSG00000248329	2432	APELA	protein_coding	chr4
ENSG00000250227	1419	TRIM60P14	processed_pseudogene	chr4
ENSG00000244146	446	AC106872.3	processed_pseudogene	chr4
ENSG00000285563	3700	AC106872.12	lncRNA	chr4
ENSG00000221891	458	FAM218BP	processed_pseudogene	chr4
ENSG00000270960	421	AC106872.10	processed_pseudogene	chr4
ENSG00000248645	1346	AC106872.5	unprocessed_pseudogene	chr4
ENSG00000121089	648	NACA3P	processed_pseudogene	chr4
ENSG00000236941	1360	AC106872.1	processed_pseudogene	chr4
ENSG00000183439	2237	TRIM61	protein_coding	chr4
ENSG00000250486	2175	FAM218A	lncRNA	chr4
ENSG00000248229	523	AC106872.4	processed_pseudogene	chr4
ENSG00000250887	747	AC106872.9	lncRNA	chr4
ENSG00000250712	1393	AC106872.8	processed_pseudogene	chr4
ENSG00000240674	480	AC106872.2	processed_pseudogene	chr4
ENSG00000176979	2702	TRIM60	protein_coding	chr4
ENSG00000276623	547	AC106872.11	processed_pseudogene	chr4
ENSG00000250430	684	AC106872.7	processed_pseudogene	chr4
ENSG00000249617	312	AC106872.6	processed_pseudogene	chr4
ENSG00000250374	1840	TRIM75P	protein_coding	chr4
ENSG00000170088	9953	TMEM192	protein_coding	chr4
ENSG00000109466	3185	KLHL2	protein_coding	chr4
ENSG00000200974	82	RNU4-87P	snRNA	chr4
ENSG00000229894	1868	GK3P	protein_coding	chr4
ENSG00000052802	2227	MSMO1	protein_coding	chr4
ENSG00000109472	2582	CPE	protein_coding	chr4
ENSG00000207559	96	MIR578	miRNA	chr4
ENSG00000251596	2284	HADHAP1	processed_pseudogene	chr4
ENSG00000248287	247	SCGB1D5P	processed_pseudogene	chr4
ENSG00000248327	3529	NOL8P1	processed_pseudogene	chr4
ENSG00000287424	8619	AC080079.2	lncRNA	chr4
ENSG00000250725	1045	AC080079.1	processed_pseudogene	chr4
ENSG00000249500	2163	LINC01179	lncRNA	chr4
ENSG00000038295	7291	TLL1	protein_coding	chr4
ENSG00000252959	101	RNA5SP170	rRNA_pseudogene	chr4
ENSG00000206711	100	Y_RNA	misc_RNA	chr4
ENSG00000249675	934	AC097487.1	lncRNA	chr4
ENSG00000196104	3061	SPOCK3	protein_coding	chr4
ENSG00000212373	115	RNA5SP171	rRNA_pseudogene	chr4
ENSG00000250150	589	AC079349.1	lncRNA	chr4
ENSG00000240772	268	RN7SL776P	misc_RNA	chr4
ENSG00000248913	367	PHBP14	processed_pseudogene	chr4
ENSG00000222721	317	RN7SKP188	misc_RNA	chr4
ENSG00000270336	409	AC105148.1	processed_pseudogene	chr4
ENSG00000248601	447	AC116634.1	lncRNA	chr4
ENSG00000109511	1441	ANXA10	protein_coding	chr4
ENSG00000287188	2647	AC068989.1	lncRNA	chr4
ENSG00000137628	6718	DDX60	protein_coding	chr4
ENSG00000181381	6781	DDX60L	protein_coding	chr4
ENSG00000207171	131	AC079926.1	snoRNA	chr4
ENSG00000129116	5858	PALLD	protein_coding	chr4
ENSG00000229226	449	BTF3L4P4	processed_pseudogene	chr4
ENSG00000249623	448	PALLD-AS1	lncRNA	chr4
ENSG00000206613	109	RNU6-1336P	snRNA	chr4
ENSG00000214676	567	RPL9P16	processed_pseudogene	chr4
ENSG00000249609	552	AC080188.1	lncRNA	chr4
ENSG00000279384	748	AC080188.2	TEC	chr4
ENSG00000145439	3440	CBR4	protein_coding	chr4
ENSG00000201176	107	RNU6-853P	snRNA	chr4
ENSG00000201818	96	RNY4P17	misc_RNA	chr4
ENSG00000251445	183	AC021151.1	lncRNA	chr4
ENSG00000154447	5120	SH3RF1	protein_coding	chr4
ENSG00000214671	846	RPL6P12	processed_pseudogene	chr4
ENSG00000251171	637	AC096741.1	lncRNA	chr4
ENSG00000137601	6096	NEK1	protein_coding	chr4
ENSG00000286302	1388	AC084724.1	lncRNA	chr4
ENSG00000109572	6635	CLCN3	protein_coding	chr4
ENSG00000056050	1216	HPF1	protein_coding	chr4
ENSG00000229204	482	PTGES3P3	processed_pseudogene	chr4
ENSG00000248625	711	AC079768.1	processed_pseudogene	chr4
ENSG00000287660	397	AC079768.3	lncRNA	chr4
ENSG00000288003	708	AC079768.4	lncRNA	chr4
ENSG00000248319	4367	LINC02275	lncRNA	chr4
ENSG00000287298	950	AC079768.2	lncRNA	chr4
ENSG00000251200	520	AC084866.2	lncRNA	chr4
ENSG00000249955	1239	AC084866.1	lncRNA	chr4
ENSG00000198948	6301	MFAP3L	protein_coding	chr4
ENSG00000109576	2250	AADAT	protein_coding	chr4
ENSG00000248822	287	APOBEC3AP1	processed_pseudogene	chr4
ENSG00000248739	843	AC069306.1	processed_pseudogene	chr4
ENSG00000250266	1569	LINC01612	lncRNA	chr4
ENSG00000251061	429	LINC02512	lncRNA	chr4
ENSG00000250082	501	AC074255.1	processed_pseudogene	chr4
ENSG00000181359	735	HSP90AA6P	transcribed_processed_pseudogene	chr4
ENSG00000250968	614	LINC02382	lncRNA	chr4
ENSG00000249943	210	AC097486.1	processed_pseudogene	chr4
ENSG00000251961	131	RNU6ATAC13P	snRNA	chr4
ENSG00000286580	1133	AC034159.2	lncRNA	chr4
ENSG00000248872	3601	LINC02431	lncRNA	chr4
ENSG00000249525	583	AC034159.1	processed_pseudogene	chr4
ENSG00000248755	734	AC092639.1	processed_pseudogene	chr4
ENSG00000278502	109	MIR6082	miRNA	chr4
ENSG00000248339	4949	LINC02504	lncRNA	chr4
ENSG00000287210	326	AC074254.2	lncRNA	chr4
ENSG00000249297	1644	LINC02174	lncRNA	chr4
ENSG00000251176	404	AC074254.1	lncRNA	chr4
ENSG00000174473	4021	GALNTL6	protein_coding	chr4
ENSG00000248637	460	AC108064.1	processed_pseudogene	chr4
ENSG00000245213	2617	AC105285.1	lncRNA	chr4
ENSG00000241652	296	RN7SL253P	misc_RNA	chr4
ENSG00000109586	4249	GALNT7	protein_coding	chr4
ENSG00000221296	74	MIR548T	miRNA	chr4
ENSG00000248774	521	AC097534.1	lncRNA	chr4
ENSG00000164104	1841	HMGB2	protein_coding	chr4
ENSG00000272870	5679	SAP30-DT	lncRNA	chr4
ENSG00000164105	1097	SAP30	protein_coding	chr4
ENSG00000164106	4000	SCRG1	protein_coding	chr4
ENSG00000288025	5159	AC093849.4	lncRNA	chr4
ENSG00000242882	893	RPL5P11	processed_pseudogene	chr4
ENSG00000286226	919	AC093849.3	lncRNA	chr4
ENSG00000252898	102	RNU6-1096P	snRNA	chr4
ENSG00000261646	2209	AC093849.1	lncRNA	chr4
ENSG00000286039	1643	AC093849.2	lncRNA	chr4
ENSG00000164107	2780	HAND2	protein_coding	chr4
ENSG00000237125	5303	HAND2-AS1	lncRNA	chr4
ENSG00000234801	971	MORF4	processed_pseudogene	chr4
ENSG00000213370	644	RANP6	processed_pseudogene	chr4
ENSG00000250708	1388	LINC02269	lncRNA	chr4
ENSG00000250043	777	AC106895.1	lncRNA	chr4
ENSG00000251216	1924	AC106895.2	lncRNA	chr4
ENSG00000248174	2468	LINC02268	lncRNA	chr4
ENSG00000250957	1144	AC012055.1	lncRNA	chr4
ENSG00000251213	335	AC012055.2	lncRNA	chr4
ENSG00000164117	1980	FBXO8	protein_coding	chr4
ENSG00000164118	4298	CEP44	protein_coding	chr4
ENSG00000249875	366	AC116616.1	lncRNA	chr4
ENSG00000265846	70	MIR4276	miRNA	chr4
ENSG00000164120	2920	HPGD	protein_coding	chr4
ENSG00000251584	1290	AC096751.2	lncRNA	chr4
ENSG00000250596	2202	AC096751.1	transcribed_processed_pseudogene	chr4
ENSG00000145451	8697	GLRA3	protein_coding	chr4
ENSG00000168594	3386	ADAM29	protein_coding	chr4
ENSG00000250200	226	AC105914.1	processed_pseudogene	chr4
ENSG00000250431	233	AC105914.2	lncRNA	chr4
ENSG00000249411	2199	AC022325.1	processed_pseudogene	chr4
ENSG00000286494	733	AC022325.2	lncRNA	chr4
ENSG00000249284	1458	AC095050.2	processed_pseudogene	chr4
ENSG00000248551	905	AC095050.1	lncRNA	chr4
ENSG00000249945	1422	AC131094.1	lncRNA	chr4
ENSG00000251174	1387	TSEN2P1	processed_pseudogene	chr4
ENSG00000248574	1273	ADAM20P2	processed_pseudogene	chr4
ENSG00000150625	2854	GPM6A	protein_coding	chr4
ENSG00000249106	1213	AC097537.1	lncRNA	chr4
ENSG00000248249	425	AC110794.1	processed_pseudogene	chr4
ENSG00000250372	2380	MARK2P4	processed_pseudogene	chr4
ENSG00000150627	7333	WDR17	protein_coding	chr4
ENSG00000201516	123	AC093605.1	snoRNA	chr4
ENSG00000150628	2115	SPATA4	protein_coding	chr4
ENSG00000164122	3031	ASB5	protein_coding	chr4
ENSG00000248980	610	SPCS3-AS1	lncRNA	chr4
ENSG00000129128	4569	SPCS3	protein_coding	chr4
ENSG00000248480	1050	AC093801.2	processed_pseudogene	chr4
ENSG00000248388	332	AC093801.1	lncRNA	chr4
ENSG00000150630	2259	VEGFC	protein_coding	chr4
ENSG00000287544	3724	AC097518.2	lncRNA	chr4
ENSG00000249458	428	AC092673.1	lncRNA	chr4
ENSG00000250263	691	LINC02509	lncRNA	chr4
ENSG00000222859	300	RN7SKP136	misc_RNA	chr4
ENSG00000249008	421	AC097518.1	lncRNA	chr4
ENSG00000109674	2363	NEIL3	protein_coding	chr4
ENSG00000249084	753	AC027627.1	lncRNA	chr4
ENSG00000038002	2037	AGA	protein_coding	chr4
ENSG00000250131	2347	AC078881.1	lncRNA	chr4
ENSG00000201931	118	RNA5SP172	rRNA	chr4
ENSG00000251416	255	AC103879.1	lncRNA	chr4
ENSG00000231171	1034	LINC01098	lncRNA	chr4
ENSG00000251504	758	LINC01099	lncRNA	chr4
ENSG00000253000	141	RNU1-45P	snRNA	chr4
ENSG00000241877	591	AC095041.1	processed_pseudogene	chr4
ENSG00000201727	136	RNA5SP173	rRNA_pseudogene	chr4
ENSG00000212191	71	AC017087.1	snoRNA	chr4
ENSG00000250839	158	AC018710.1	unprocessed_pseudogene	chr4
ENSG00000250993	539	AC020551.1	lncRNA	chr4
ENSG00000248921	420	AC021193.1	processed_pseudogene	chr4
ENSG00000287083	2123	AC108169.1	lncRNA	chr4
ENSG00000287775	1124	AC096747.1	lncRNA	chr4
ENSG00000251025	564	NDUFB5P1	processed_pseudogene	chr4
ENSG00000249883	529	AC104803.1	lncRNA	chr4
ENSG00000248197	593	LINC00290	lncRNA	chr4
ENSG00000248770	207	AC019235.1	unprocessed_pseudogene	chr4
ENSG00000249460	1328	LINC02500	lncRNA	chr4
ENSG00000225356	336	AC093840.1	processed_pseudogene	chr4
ENSG00000286860	1537	AC093840.2	lncRNA	chr4
ENSG00000287948	586	AC084741.1	lncRNA	chr4
ENSG00000251336	401	TEMN3-AS1	lncRNA	chr4
ENSG00000251742	244	RN7SKP13	misc_RNA	chr4
ENSG00000177822	2279	TENM3-AS1	lncRNA	chr4
ENSG00000251433	678	CCNHP1	processed_pseudogene	chr4
ENSG00000218336	10923	TENM3	protein_coding	chr4
ENSG00000248266	286	AC108142.1	lncRNA	chr4
ENSG00000221227	86	MIR1305	miRNA	chr4
ENSG00000252343	121	RNU2-34P	snRNA	chr4
ENSG00000251714	235	RN7SKP67	misc_RNA	chr4
ENSG00000248816	518	AC079226.2	lncRNA	chr4
ENSG00000248694	444	AC079226.1	lncRNA	chr4
ENSG00000286119	1564	AC114798.1	lncRNA	chr4
ENSG00000272646	427	AC079766.1	lncRNA	chr4
ENSG00000129187	1931	DCTD	protein_coding	chr4
ENSG00000286821	1389	AC019193.4	lncRNA	chr4
ENSG00000250636	823	AC019193.1	processed_pseudogene	chr4
ENSG00000230219	2455	CIBAR1P2	transcribed_processed_pseudogene	chr4
ENSG00000273180	554	AC019193.3	lncRNA	chr4
ENSG00000272784	634	AC019193.2	lncRNA	chr4
ENSG00000251359	2183	WWC2-AS2	lncRNA	chr4
ENSG00000151718	8862	WWC2	protein_coding	chr4
ENSG00000251128	404	WWC2-AS1	lncRNA	chr4
ENSG00000177300	2177	CLDN22	protein_coding	chr4
ENSG00000185758	663	CLDN24	protein_coding	chr4
ENSG00000250292	1361	AC093844.1	processed_pseudogene	chr4
ENSG00000248376	916	AC112698.1	processed_pseudogene	chr4
ENSG00000168564	3542	CDKN2AIP	protein_coding	chr4
ENSG00000213434	696	VTI1BP2	processed_pseudogene	chr4
ENSG00000232648	1538	AC107214.1	lncRNA	chr4
ENSG00000168556	2458	ING2	protein_coding	chr4
ENSG00000272744	634	AC107214.2	lncRNA	chr4
ENSG00000182552	2601	RWDD4	protein_coding	chr4
ENSG00000252157	105	RNU6-479P	snRNA	chr4
ENSG00000168538	4523	TRAPPC11	protein_coding	chr4
ENSG00000201433	113	RNU6-335P	snRNA	chr4
ENSG00000251739	101	RNU6-1053P	snRNA	chr4
ENSG00000287349	481	AC108477.2	lncRNA	chr4
ENSG00000283383	526	AC108477.1	lncRNA	chr4
ENSG00000173320	10507	STOX2	protein_coding	chr4
ENSG00000248206	2440	AC074194.1	lncRNA	chr4
ENSG00000283355	2348	AC074194.2	TEC	chr4
ENSG00000250726	637	AC107222.1	processed_pseudogene	chr4
ENSG00000164303	3848	ENPP6	protein_coding	chr4
ENSG00000287433	2787	AC107222.2	lncRNA	chr4
ENSG00000240159	822	AC079080.1	processed_pseudogene	chr4
ENSG00000244512	298	RN7SL28P	misc_RNA	chr4
ENSG00000227765	512	MYL12BP2	processed_pseudogene	chr4
ENSG00000180712	2153	LINC02363	lncRNA	chr4
ENSG00000249096	2044	LINC02362	lncRNA	chr4
ENSG00000168310	2257	IRF2	protein_coding	chr4
ENSG00000251878	84	SNORD79	snoRNA	chr4
ENSG00000270426	686	AC099343.2	lncRNA	chr4
ENSG00000271646	2503	IRF2-DT	lncRNA	chr4
ENSG00000286292	1151	AC099343.3	lncRNA	chr4
ENSG00000271538	4320	LINC02427	lncRNA	chr4
ENSG00000249056	609	AC099343.1	processed_pseudogene	chr4
ENSG00000254233	802	LINC02365	lncRNA	chr4
ENSG00000164305	2645	CASP3	protein_coding	chr4
ENSG00000164306	2174	PRIMPOL	protein_coding	chr4
ENSG00000151725	2494	CENPU	protein_coding	chr4
ENSG00000151726	3948	ACSL1	protein_coding	chr4
ENSG00000249138	751	SLED1	transcribed_processed_pseudogene	chr4
ENSG00000251139	628	AC084871.1	lncRNA	chr4
ENSG00000286256	1385	AC084871.3	lncRNA	chr4
ENSG00000251230	1031	MIR3945HG	lncRNA	chr4
ENSG00000266698	98	MIR3945	miRNA	chr4
ENSG00000249173	2729	LINC01093	lncRNA	chr4
ENSG00000251147	464	AC084871.2	processed_pseudogene	chr4
ENSG00000263458	58	MIR4455	miRNA	chr4
ENSG00000279460	3851	AC112243.1	TEC	chr4
ENSG00000248517	911	LINC02437	lncRNA	chr4
ENSG00000187821	1099	HELT	protein_coding	chr4
ENSG00000250754	2345	LINC02436	lncRNA	chr4
ENSG00000249520	343	AC093824.1	processed_pseudogene	chr4
ENSG00000287183	700	AC093824.2	lncRNA	chr4
